epoch_no,start_date_utc,reserve_ada,rho_rate,eta_capped,tau_rate,d_decentralisation,transition_gate,monetary_expansion_nominal_ada,monetary_expansion_eta_adjusted_ada,monetary_expansion_pool_side_ada,is_current_partial_epoch
312,2021-12-31,11072246017.826611,0.003000,0.963935,0.200000,0.000000,1,33216738.053480,32018782.546829,25615026.037463,False
313,2022-01-05,11051631533.654673,0.003000,0.938287,0.200000,0.000000,1,33154894.600964,31108807.818414,24887046.254731,False
314,2022-01-10,11031385419.250645,0.003000,0.943981,0.200000,0.000000,1,33094156.257752,31240270.652572,24992216.522058,False
315,2022-01-15,11011700944.995487,0.003000,0.934352,0.200000,0.000000,1,33035102.834986,30866409.509986,24693127.607989,False
316,2022-01-20,10992003609.815989,0.003000,0.932454,0.200000,0.000000,1,32976010.829448,30748603.431292,24598882.745034,False
317,2022-01-25,10972584901.107006,0.003000,0.948056,0.200000,0.000000,1,32917754.703321,31207860.222899,24966288.178319,False
318,2022-01-30,10953227838.823000,0.003000,0.939074,0.200000,0.000000,1,32859683.516469,30857676.872595,24686141.498076,False
319,2022-02-04,10933650872.361431,0.003000,0.945093,0.200000,0.000000,1,32800952.617084,30999937.348387,24799949.878710,False
320,2022-02-09,10914331394.835611,0.003000,0.939074,0.200000,0.000000,1,32742994.184507,30748096.946229,24598477.556983,False
321,2022-02-14,10894905349.913179,0.003000,0.930370,0.200000,0.000000,1,32684716.049740,30408891.376647,24327113.101317,False
322,2022-02-19,10875612782.714796,0.003000,0.944120,0.200000,0.000000,1,32626838.348144,30803662.705264,24642930.164211,False
323,2022-02-24,10856555549.633465,0.003000,0.952454,0.200000,0.000000,1,32569666.648900,31021099.628140,24816879.702512,False
324,2022-03-01,10837286615.744764,0.003000,0.943519,0.200000,0.000000,1,32511859.847234,30675541.837344,24540433.469875,False
325,2022-03-06,10817894577.514128,0.003000,0.950972,0.200000,0.000000,1,32453683.732542,30862551.738433,24690041.390746,False
326,2022-03-11,10798756714.539429,0.003000,0.950648,0.200000,0.000000,1,32396270.143618,30797454.218938,24637963.375150,False
327,2022-03-16,10779457383.188417,0.003000,0.941944,0.200000,0.000000,1,32338372.149565,30460949.988660,24368759.990928,False
328,2022-03-21,10760324733.104605,0.003000,0.952731,0.200000,0.000000,1,32280974.199314,30755100.372578,24604080.298062,False
329,2022-03-26,10741397939.952328,0.003000,0.942269,0.200000,0.000000,1,32224193.819857,30363843.371090,24291074.696872,False
330,2022-03-31,10722297918.395193,0.003000,0.957639,0.200000,0.000000,1,32166893.755186,30804268.394723,24643414.715778,False
331,2022-04-05,10702736716.126707,0.003000,0.958519,0.200000,0.000000,1,32108210.148380,30776314.023707,24621051.218965,False
332,2022-04-10,10682871684.482153,0.003000,0.944028,0.200000,0.000000,1,32048615.053446,30254782.849760,24203826.279808,False
333,2022-04-15,10662954751.304020,0.003000,0.939352,0.200000,0.000000,1,31988864.253912,30048798.875550,24039039.100440,False
334,2022-04-20,10643350776.202190,0.003000,0.936667,0.200000,0.000000,1,31930052.328607,29907815.681128,23926252.544903,False
335,2022-04-25,10623895506.123552,0.003000,0.946574,0.200000,0.000000,1,31871686.518371,30168912.155306,24135129.724245,False
336,2022-04-30,10604486697.782318,0.003000,0.949074,0.200000,0.000000,1,31813460.093347,30193330.181186,24154664.144949,False
337,2022-05-05,10584926320.452051,0.003000,0.962685,0.200000,0.000000,1,31754778.961356,30569855.264928,24455884.211942,False
338,2022-05-10,10565374767.957279,0.003000,0.955556,0.200000,0.000000,1,31696124.303872,30287407.668144,24229926.134515,False
339,2022-05-15,10545586696.000513,0.003000,0.957315,0.200000,0.000000,1,31636760.088002,30286339.124986,24229071.299989,False
340,2022-05-20,10526055083.287403,0.003000,0.956944,0.200000,0.000000,1,31578165.249862,30218549.801604,24174839.841283,False
341,2022-05-25,10506491829.002853,0.003000,0.958704,0.200000,0.000000,1,31519475.487009,30217837.888193,24174270.310555,False
342,2022-05-30,10487149571.006994,0.003000,0.971759,0.200000,0.000000,1,31461448.713021,30572954.096588,24458363.277271,False
